x,y,z,Bx,By,Bz,d theta/dy,B magnitude
0.0,-0.0,-0.0,0.1100538169757877,-719.9999999999997,0.0,0.008247283716796727,720.0000084110015
0.010101010101010102,-0.0,-0.0,0.12364479139280378,-414.5693551765737,0.0,0.010878078268054757,414.5693736150255
0.020202020202020204,-0.0,-0.0,0.13953598440933918,-260.1319397874381,0.0,0.01736159944590454,260.1319772113115
0.030303030303030307,-0.0,-0.0,0.1582272195082493,-173.79877348415138,0.0,0.02677909198303296,173.79884550953827
0.04040404040404042,-0.0,-0.0,0.1803520007098413,-121.80889045965723,0.0,0.04031460637107337,121.80902397547128
0.05050505050505051,-0.0,-0.0,0.20672019581857998,-88.65002266959652,0.0,0.05965220774073381,88.65026369142585
0.060606060606060615,-0.0,-0.0,0.2383765938963862,-66.51287732926838,0.0,0.08720672126255473,66.51330448879247
0.07070707070707072,-0.0,-0.0,0.2766820602909519,-51.17341232393773,0.0,0.12647174024622482,51.174160294412545
0.08080808080808081,-0.0,-0.0,0.323427177152019,-40.21043653845789,0.0,0.1825498677100029,40.21173723867534
0.09090909090909093,-0.0,-0.0,0.3809930233858444,-32.16810446107884,0.0,0.2629682000688061,32.17036058707998
0.10101010101010102,-0.0,-0.0,0.4525809358723379,-26.135121007340594,0.0,0.3789416173888753,26.139039377372892
0.11111111111111112,-0.0,-0.0,0.5425438839165858,-21.521177580056573,0.0,0.5473350986740045,21.52801519644357
0.12121212121212124,-0.0,-0.0,0.6568680376735776,-17.932423450876954,0.0,0.7936909161804188,17.944450017776497
0.13131313131313133,-0.0,-0.0,0.8038758400358677,-15.099227701985633,0.0,1.156769008600962,15.120611547242513
0.14141414141414144,-0.0,-0.0,0.9952516891527958,-12.832771175588567,0.0,1.6948270152073734,12.871306925474906
0.15151515151515152,-0.0,-0.0,1.2475225538999593,-10.998143785037806,0.0,2.4923370582036197,11.068671069232062
0.16161616161616166,-0.0,-0.0,1.5841334404393332,-9.497209348350301,0.0,3.6598491548763783,9.628419608820053
0.17171717171717174,-0.0,-0.0,2.0381610471034604,-8.257422750668905,0.0,5.3019051735190335,8.505241380301579
0.18181818181818185,-0.0,-0.0,2.655283719013977,-7.224370717144991,0.0,7.395189272280692,7.696886635984885
0.191919191919192,-0.0,-0.0,3.495321450126012,-6.3566974281570365,0.0,9.540437680983171,7.254300395823797
0.20202020202020204,-0.0,-0.0,4.627375287568758,-5.622590356032647,0.0,10.841741696578927,7.281903896904529
0.21212121212121213,-0.0,-0.0,6.107110879803492,-4.997306728042494,0.0,10.467145016418744,7.89112652492361
0.22222222222222224,-0.0,-0.0,7.917729592076039,-4.461406386794616,0.0,8.528787403257152,9.088156515012733
0.23232323232323235,-0.0,-0.0,9.867891197310323,-3.9994719621707904,0.0,5.95916541412445,10.647584357878777
0.2424242424242425,-0.0,-0.0,11.51224185458689,-3.59917023887834,0.0,3.5761656384056884,12.061746926831525
0.2525252525252525,-0.0,-0.0,12.269718916660983,-3.2505557056127192,0.0,1.6604845950116571,12.692994709254387
0.26262626262626265,-0.0,-0.0,11.808030511959306,-2.945548195785994,0.0,0.1549837444427501,12.169874228810254
