x,y,z,Bx,By,Bz
0.0,-0.0,-0.0,0.1100538169757877,-719.9999999999998,0.0
0.004,-0.0,-0.0,0.11518815534510822,-571.559213534522,0.0
0.008,-0.0,-0.0,0.12064293548248231,-461.27352494977237,0.0
0.012,-0.0,-0.0,0.12644321937263897,-377.6308281024471,0.0
0.016,-0.0,-0.0,0.13261642446068778,-313.0478337089907,0.0
0.02,-0.0,-0.0,0.13919258190826556,-262.3906705539358,0.0
0.024,-0.0,-0.0,0.14620462714227644,-222.09938207016359,0.0
0.028,-0.0,-0.0,0.1536887272169824,-189.65255651646186,0.0
0.032,-0.0,-0.0,0.16168465020708256,-163.23036520073705,0.0
0.036000000000000004,-0.0,-0.0,0.17023618266218052,-141.49697510910985,0.0
0.04,-0.0,-0.0,0.1793916021041426,-123.4567901234568,0.0
0.044,-0.0,-0.0,0.1892042126608243,-108.357493041041,0.0
0.048,-0.0,-0.0,0.19973295323259666,-95.62342221353347,0.0
0.052000000000000005,-0.0,-0.0,0.21104308911654102,-84.80901010923398,0.0
0.056,-0.0,-0.0,0.22320699980784753,-75.56573547290714,0.0
0.06,-0.0,-0.0,0.23630507780635923,-67.618332081142,0.0
0.064,-0.0,-0.0,0.250426755737538,-60.74743645818146,0.0
0.068,-0.0,-0.0,0.26567168201541647,-54.77677854113613,0.0
0.07200000000000001,-0.0,-0.0,0.28215106871283757,-49.56361986245544,0.0
0.076,-0.0,-0.0,0.2999892393510615,-44.99154159018105,0.0
0.08,-0.0,-0.0,0.3193254090849894,-40.964952207555754,0.0
0.084,-0.0,-0.0,0.34031573536645543,-37.404866955044334,0.0
0.088,-0.0,-0.0,0.3631356837547029,-34.24563710583271,0.0
0.092,-0.0,-0.0,0.38798276127138087,-31.43239520439438,0.0
0.096,-0.0,-0.0,0.41507967873858637,-28.91904466899903,0.0
0.1,-0.0,-0.0,0.44467801407790775,-26.666666666666654,0.0
0.10400000000000001,-0.0,-0.0,0.47706246077000236,-24.642249300707714,0.0
0.108,-0.0,-0.0,0.5125557597486233,-22.817667567880026,0.0
0.112,-0.0,-0.0,0.5515244290536597,-21.168859760537856,0.0
0.116,-0.0,-0.0,0.5943854236244076,-19.675158756669873,0.0
0.12,-0.0,-0.0,0.6416138775471597,-18.318746183594552,0.0
0.124,-0.0,-0.0,0.693752102457098,-17.084204627769356,0.0
0.128,-0.0,-0.0,0.7514200377606642,-15.958148514331839,0.0
0.132,-0.0,-0.0,0.8153273692784492,-14.928918442986792,0.0
0.136,-0.0,-0.0,0.886287550071653,-13.986326966757298,0.0
0.14,-0.0,-0.0,0.9652339661272255,-13.121446274967196,0.0
0.14400000000000002,-0.0,-0.0,1.0532384831535913,-12.326430167212132,0.0
0.148,-0.0,-0.0,1.1515325780020356,-11.5943642114441,0.0
0.152,-0.0,-0.0,1.2615311825071993,-10.919139164185998,0.0
0.156,-0.0,-0.0,1.3848592239094364,-10.295343667723042,0.0
0.16,-0.0,-0.0,1.5233805978576103,-9.718172983479104,0.0
0.164,-0.0,-0.0,1.679228904401986,-9.183351115022083,0.0
0.168,-0.0,-0.0,1.8548386395968788,-8.68706415068697,0.0
0.17200000000000001,-0.0,-0.0,2.0529745623567313,-8.225903039635687,0.0
0.176,-0.0,-0.0,2.2767555112197195,-7.7968143256240765,0.0
0.18,-0.0,-0.0,2.5296668560966817,-7.397057614859869,0.0
0.184,-0.0,-0.0,2.815552835896235,-7.024168759868958,0.0
0.188,-0.0,-0.0,3.138576056988986,-6.675927909473231,0.0
0.192,-0.0,-0.0,3.503126288322717,-6.350331713104997,0.0
0.196,-0.0,-0.0,3.913654487324917,-6.045569081508781,0.0
0.2,-0.0,-0.0,4.374401311190006,-5.76,0.0
0.20400000000000001,-0.0,-0.0,4.888983696477969,-5.492136968525906,0.0
0.20800000000000002,-0.0,-0.0,5.459801387265299,-5.24062870774481,0.0
0.212,-0.0,-0.0,6.087232608231405,-5.004245824568489,0.0
0.216,-0.0,-0.0,6.768611824275043,-4.7818681760084525,0.0
0.22,-0.0,-0.0,7.497031588284385,-4.572473708276177,0.0
0.224,-0.0,-0.0,8.260091885380175,-4.375128580167716,0.0
0.228,-0.0,-0.0,9.038832261341868,-4.188978406840284,0.0
0.232,-0.0,-0.0,9.807203106405142,-4.013240483001518,0.0
0.23600000000000002,-0.0,-0.0,10.53251272051551,-3.8471968639702987,0.0
0.24,-0.0,-0.0,11.177250050984076,-3.6901881995981807,0.0
0.244,-0.0,-0.0,11.702455453500317,-3.54160823013087,0.0
0.248,-0.0,-0.0,12.072379410543457,-3.4008988651276066,0.0
0.252,-0.0,-0.0,12.259637022305899,-3.267545776864092,0.0
0.256,-0.0,-0.0,12.249662336020597,-3.1410744484901487,0.0
0.26,-0.0,-0.0,12.043243235165784,-3.0210466248195766,0.0
0.264,-0.0,-0.0,11.65638148898782,-2.9070571201839432,0.0
0.268,-0.0,-0.0,11.117520717656392,-2.798730943441006,0.0
0.272,-0.0,-0.0,10.462963716961998,-2.6957207051238585,0.0
0.276,-0.0,-0.0,9.731718131581253,-2.5977042759597824,0.0
0.28,-0.0,-0.0,8.960939554229467,-2.5043826696719256,0.0
0.28400000000000003,-0.0,-0.0,8.182712351166332,-2.415478126181571,0.0
0.28800000000000003,-0.0,-0.0,7.422377717765244,-2.330732374121287,0.0
0.292,-0.0,-0.0,6.6982040918047225,-2.249905054006722,0.0
0.296,-0.0,-0.0,6.021988747943641,-2.172772285545927,0.0
0.3,-0.0,-0.0,5.400158091565534,-2.0991253644314876,0.0
0.304,-0.0,-0.0,4.835021622890094,-2.0287695755976354,0.0
0.308,-0.0,-0.0,4.325956440501122,-1.961523111362729,0.0
0.312,-0.0,-0.0,3.870408532836896,-1.8972160841426295,0.0
0.316,-0.0,-0.0,3.4646751415336507,-1.835689624535387,0.0
0.32,-0.0,-0.0,3.1044786204594113,-1.7767950565613095,0.0
0.324,-0.0,-0.0,2.7853639253831775,-1.720393142711734,0.0
0.328,-0.0,-0.0,2.5029579876024095,-1.6663533922289278,0.0
0.332,-0.0,-0.0,2.2531269366767033,-1.614553426721017,0.0
0.336,-0.0,-0.0,2.032061261091984,-1.5648783978204652,0.0
0.34,-0.0,-0.0,1.8363123159843544,-1.5172204521316948,0.0
0.34400000000000003,-0.0,-0.0,1.6627974760131834,-1.4714782391912073,0.0
0.34800000000000003,-0.0,-0.0,1.5087862093802602,-1.4275564585889977,0.0
0.352,-0.0,-0.0,1.3718754847973156,-1.3853654427794202,0.0
0.356,-0.0,-0.0,1.249960082786113,-1.3448207724483165,0.0
0.36,-0.0,-0.0,1.1412013662663567,-1.3058429216058969,0.0
0.364,-0.0,-0.0,1.0439966747905294,-1.2683569298456563,0.0
0.368,-0.0,-0.0,0.9569505728933115,-1.2322920994522162,0.0
0.372,-0.0,-0.0,0.8788485725712244,-1.1975817152585007,0.0
0.376,-0.0,-0.0,0.8086335630177224,-1.1641627853479404,0.0
0.38,-0.0,-0.0,0.7453849450987639,-1.131975800872879,0.0
0.384,-0.0,-0.0,0.6883003326376852,-1.100964513418213,0.0
0.388,-0.0,-0.0,0.6366796121154528,-1.071075728481446,0.0
0.392,-0.0,-0.0,0.5899111229279848,-1.0422591137684651,0.0
0.396,-0.0,-0.0,0.5474597158676053,-1.014467021119941,0.0
0.4,-0.0,-0.0,0.5088564575028462,-0.9876543209876543,0.0
