x,y,z,Bx,By,Bz,d theta/dy,B magnitude
0.0,-0.0,-0.0,0.5295364409892869,719.9999999999997,0.0,0.07144767290019294,720.0001947283362
0.0020195979899497486,-0.0,-0.0,0.5502716357874338,639.3542178288992,0.0,0.07635641005331874,639.3544546294149
0.004039195979899497,-0.0,-0.0,0.5720684592857508,570.3164168400192,0.0,0.08673976362274895,570.316703752889
0.006058793969849248,-0.0,-0.0,0.5949925944501289,510.87100982787837,0.0,0.0983148774482845,510.8713563107092
0.008078391959798994,-0.0,-0.0,0.6191143376524538,459.4082176220076,0.0,0.11120816072051644,459.40863479172106
0.010097989949748743,-0.0,-0.0,0.6445089425035787,414.6318593510353,0.0,0.1255595284537958,414.63236026710905
0.012117587939698495,-0.0,-0.0,0.6712569879048447,375.4903316178283,0.0,0.14152386393247718,375.49093161408103
0.014137185929648244,-0.0,-0.0,0.6994447713522703,341.124417012382,0.0,0.15927263544793815,341.125134085757
0.01615678391959799,-0.0,-0.0,0.7291647283766207,310.8274427194543,0.0,0.17899568130738674,310.8282979857477
0.01817638190954774,-0.0,-0.0,0.7605158787849118,284.0145963998972,0.0,0.2009031775699044,284.0156146281369
0.02019597989949749,-0.0,-0.0,0.7936043000685552,260.1990979420142,0.0,0.2252278031787532,260.20030818126054
0.022215577889447242,-0.0,-0.0,0.8285436279384484,238.9735507983617,0.0,0.25222711698802325,238.97498711312988
0.02423517587939699,-0.0,-0.0,0.8654555834137658,219.99523992482108,0.0,0.2821861604731664,219.99694225817427
0.02625477386934674,-0.0,-0.0,0.9044705251989432,202.9744610199152,0.0,0.31542029848009673,202.97647620661868
0.028274371859296488,-0.0,-0.0,0.9457280251966341,187.66519567773304,0.0,0.3522783079482577,187.66757863376262
0.030293969849246236,-0.0,-0.0,0.9893774638800528,173.85761501813462,0.0,0.39314572082823146,173.86043013739484
0.03231356783919598,-0.0,-0.0,1.03557864083763,161.3720181243656,0.0,0.43844842200210704,161.37534091877833
0.03433316582914574,-0.0,-0.0,1.0845023940441405,150.0539035839453,0.0,0.48865649540632394,150.05782260922837
0.03635276381909548,-0.0,-0.0,1.1363312192412405,139.76994130325122,0.0,0.5442883011275232,139.77456041982072
0.038372361809045234,-0.0,-0.0,1.1912598781434038,130.40466373284684,0.0,0.6059147522297431,130.41010475946308
0.04039195979899498,-0.0,-0.0,1.2494959809370159,121.85773512814757,0.0,0.674163741552542,121.86414095527914
0.04241155778894473,-0.0,-0.0,1.3112605246081042,114.04168767750444,0.0,0.7497246445583489,114.04922591800816
0.044431155778894484,-0.0,-0.0,1.376788363911533,106.88003658647793,0.0,0.8333527931854309,106.88890385314023
0.04645075376884423,-0.0,-0.0,1.446328586161766,100.30570422188076,0.0,0.9258737760145562,100.31613113466136
0.04847035175879398,-0.0,-0.0,1.5201447543680855,94.2596974550287,0.0,1.0281873701059314,94.27195449542657
0.050489949748743726,-0.0,-0.0,1.5985149754365562,88.68999334033239,0.0,1.1412708476257605,88.70439768599356
0.05250954773869348,-0.0,-0.0,1.6817317411209307,83.55059692689629,0.0,1.2661813237385726,83.56752041606705
0.054529145728643216,-0.0,-0.0,1.770101479053591,78.80074185782482,0.0,1.4040567190789417,78.82062024996817
0.056548743718592975,-0.0,-0.0,1.8639437395099188,74.40420986695239,0.0,1.556114798491926,74.42755358191987
0.05856834170854273,-0.0,-0.0,1.9635899306195959,70.32874964270509,0.0,1.7236496162738644,70.35615617500663
0.06058793969849247,-0.0,-0.0,2.069381500723143,66.54557902925606,0.0,1.9080245465392245,66.57774724436462
0.06260753768844222,-0.0,-0.0,2.1816674518417125,63.028957357644316,0.0,2.110660907076945,63.066703881383965
0.06462713567839197,-0.0,-0.0,2.300801053380472,59.75581698483934,0.0,2.3330210005552146,59.8000948913365
0.06664673366834171,-0.0,-0.0,2.4271356111339726,56.70544497648631,0.0,2.5765842069058547,56.757364960471435
0.06866633165829147,-0.0,-0.0,2.5610191347250923,53.8592073850597,0.0,2.84281458015,53.92006156483223
0.07068592964824122,-0.0,-0.0,2.7027877386136536,51.2003098168425,0.0,3.1331182553633066,51.27159824796433
0.07270552763819096,-0.0,-0.0,2.852757610184546,48.71358900179981,0.0,3.448788891734272,48.79704888022162
0.07472512562814071,-0.0,-0.0,3.0112153862889364,46.38533092226991,0.0,3.7909394147146025,46.48296830959822
0.07674472361809047,-0.0,-0.0,3.178406800819858,44.20311175308263,0.0,4.160418539581089,44.317235455824736
0.07876432160804021,-0.0,-0.0,3.354523505022517,42.155658444122615,0.0,4.557711043432803,42.288915412945684
0.08078391959798996,-0.0,-0.0,3.5396880244058826,40.2327262580533,0.0,4.982821601657536,40.3881375340034
0.08280351758793973,-0.0,-0.0,3.733936906723752,38.42499097828349,0.0,5.435143326084651,38.60598679615069
0.08482311557788946,-0.0,-0.0,3.9372022396143103,36.72395383933329,0.0,5.913314037520404,36.93440600671827
0.08684271356783921,-0.0,-0.0,4.149291878044706,35.12185751492888,0.0,6.415065845846844,35.36610663316184
0.08886231155778895,-0.0,-0.0,4.369868922244628,33.611611737697565,0.0,6.937076796715057,33.894486247815124
0.09088190954773873,-0.0,-0.0,4.598431223942372,32.1867273258047,0.0,7.474837052702352,32.51355080065897
0.09290150753768846,-0.0,-0.0,4.834291964294809,30.84125756247725,0.0,8.022546002730156,31.2178402012552
0.0949211055276382,-0.0,-0.0,5.076562625143029,29.569746019175724,0.0,8.573060291010053,30.00235603624418
0.09694070351758796,-0.0,-0.0,5.324139941108238,28.367180036407234,0.0,9.117915212807274,28.86249069866363
